state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL
AL,2020-03-07,3583.4,3478.5020890961123,3688.2979109038884,0.2,0.19414043621361368,0.20585956378638634
AL,2020-03-08,3583.4,3478.5020890961123,3688.2979109038884,0.2,0.19414043621361368,0.20585956378638634
AL,2020-03-09,3750.06976744186,3646.6175726860047,3853.5219621977158,0.2535211267605634,0.24649357405799555,0.2605486794631312
AL,2020-03-10,5000.093023255814,4887.60142913902,5112.584617372608,0.3380281690140845,0.33038656597108196,0.34566977205708704
AL,2020-03-11,4166.7441860465115,4059.773296514186,4273.715075578838,0.28169014084507044,0.274423561671926,0.2889567200182149
AL,2020-03-12,3125.0581395348836,3027.9836390657265,3222.1326400040407,0.2112676056338028,0.20467329248527646,0.21786191878232916
AL,2020-03-13,3203.701986754967,3111.276163271362,3296.1278102385722,0.3,0.29127153029755687,0.3087284697024431
AL,2020-03-14,3559.6688741721855,3464.591446262017,3654.746302082354,0.3333333333333333,0.3243544525658027,0.34231221410086393
AL,2020-03-15,4375.081395348837,4266.548804383402,4483.613986314273,0.29577464788732394,0.2884019816548111,0.30314731411983675
AL,2020-03-16,3750.06976744186,3646.6175726860047,3853.5219621977158,0.2535211267605634,0.24649357405799555,0.2605486794631312
AL,2020-03-17,4583.418604651162,4473.448433287675,4693.388776014651,0.30985915492957744,0.3023888332337336,0.31732947662542127
AL,2020-03-18,3541.732558139535,3440.2510618626106,3643.214054416459,0.23943661971830985,0.232542937422786,0.24633030201383369
AL,2020-03-19,3958.4069767441856,3853.1274331152613,4063.6865203731104,0.2676056338028169,0.2604539484944423,0.27475731911119144
AL,2020-03-20,3125.0581395348836,3027.9836390657265,3222.1326400040407,0.2112676056338028,0.20467329248527646,0.21786191878232916
AL,2020-03-21,3333.3953488372094,3234.036429926453,3432.754267747966,0.22535211267605634,0.21860261798661687,0.23210160736549582
AL,2020-03-22,3958.4069767441856,3853.1274331152613,4063.6865203731104,0.2676056338028169,0.2604539484944423,0.27475731911119144
AL,2020-03-23,4166.7441860465115,4059.773296514186,4273.715075578838,0.28169014084507044,0.274423561671926,0.2889567200182149
AL,2020-03-24,3750.06976744186,3646.6175726860047,3853.5219621977158,0.2535211267605634,0.24649357405799555,0.2605486794631312
AL,2020-03-25,3750.06976744186,3646.6175726860047,3853.5219621977158,0.2535211267605634,0.24649357405799555,0.2605486794631312
AL,2020-03-26,3541.732558139535,3440.2510618626106,3643.214054416459,0.23943661971830985,0.232542937422786,0.24633030201383369
AL,2020-03-27,6073.928311057109,5963.94455633407,6183.912065780148,0.45662847790507366,0.4479619833743924,0.4652949724357549
AL,2020-03-28,5420.817739975699,5312.444943242125,5529.190536709272,0.4088669950738916,0.4002993962187127,0.41743459392907056
AL,2020-03-29,5230.009416195857,5124.462495352707,5335.5563370390055,0.4105960264900662,0.40178768027759765,0.4194043727025348
AL,2020-03-30,5824.838461538462,5721.352199993294,5928.3247230836305,0.4448753462603878,0.4357076904724325,0.45404300204834314
AL,2020-03-31,5277.875968992248,5185.910836103586,5369.841101880911,0.4528710725893825,0.44252076639380056,0.4632213787849644
AL,2020-04-01,5665.505788712011,5576.283046395731,5754.728531028291,0.47103206682834814,0.46030412538090276,0.4817600082757935
AL,2020-04-02,5477.2011361619025,5389.476109545734,5564.926162778071,0.46654023299918723,0.4556414148338312,0.47743905116454327
AL,2020-04-03,5419.688398177357,5331.63702908318,5507.739767271534,0.4536136662286465,0.4428002732063845,0.46442705925090855
AL,2020-04-04,5648.866376754299,5556.569731692231,5741.163021816368,0.4529963078670832,0.44268268734880883,0.4633099283853576
AL,2020-04-05,5556.784542399684,5464.616925173671,5648.952159625696,0.4454855195911414,0.43518924144149496,0.45578179774078786
AL,2020-04-06,5559.214415395787,5469.551508241906,5648.877322549669,0.4564636752136752,0.4458336542033788,0.4670936962239716
AL,2020-04-07,6355.289634560521,6269.690748533949,6440.888520587095,0.49060503570086433,0.4793892247904591,0.5018208466112696
AL,2020-04-08,7184.0812952118495,7101.713107865975,7266.449482557724,0.5216611891245891,0.5100232312571364,0.5332991469920418
AL,2020-04-09,7208.768859800208,7126.299525161587,7291.238194438827,0.5221278497988378,0.510505117585653,0.5337505820120225
